ID,TITLE,GENRE,LANGUAGE,RELEASE_YEAR,DURATION_MINUTES,RATING,COUNTRY,DIRECTOR
F034,A Village of Kites,Animation,English,2019,98,9.1,United Kingdom,Louis Bernard
F035,The Forgotten Ticket,Documentary,French,2020,111,5.9,France,Ren Sato
F036,Rooftop Conversations,Comedy,Spanish,2021,124,6.6,Spain,Nadia Rahman
F037,A Borrowed Umbrella,Drama,Korean,2022,137,7.3,South Korea,Pavel Novak
F038,The Silent Telescope,Science Fiction,English,2023,91,8,United Kingdom,Diego Torres
F039,When the Ice Melts,Thriller,Serbian,2024,104,8.7,Serbia,Jonas Weber
F040,The Museum of Rain,Animation,French,2025,117,5.5,France,Elena Kovac
F041,The Orange Notebook,Documentary,German,2018,130,6.2,Germany,Oliver Reed
F042,A Table for Three,Comedy,English,2019,84,6.9,United Kingdom,Milica Petrovic
F043,Lost in the Greenhouse,Drama,English,2020,97,7.6,United Kingdom,Minseo Park
F044,The Second Sunrise,Science Fiction,Serbian,2021,110,8.3,Serbia,Amina Diallo
F045,A Thread of Silver,Thriller,Japanese,2022,123,9,Japan,Mateo Silva
F046,The Last Streetlamp,Animation,German,2023,136,5.8,Germany,Claire Moreau
F047,Voices beyond the Wall,Documentary,English,2024,90,6.5,United Kingdom,Nadia Rahman
F048,The Passenger in Blue,Comedy,English,2025,103,7.2,United Kingdom,Ines Costa
F049,A Summer without Clocks,Drama,French,2018,116,7.9,France,Louis Bernard
F050,The Invisible Bridge,Science Fiction,Spanish,2019,129,8.6,Spain,Lucia Alvarez
F051,Beyond the Courtyard,Thriller,Italian,2020,83,9.3,Italy,Tomas Varga
F052,The Paper Astronaut,Animation,English,2021,96,6.1,United Kingdom,Leila Haddad
F053,A Handful of Stars,Documentary,English,2022,109,6.8,United Kingdom,Chloé Martin
F054,The Other Side of Noon,Comedy,French,2023,122,7.5,France,Jonas Weber
F055,The Last Snow Globe,Drama,Spanish,2024,135,8.2,Spain,Gabriel Santos
F056,The Bicycle Repair Club,Science Fiction,English,2025,89,8.9,United Kingdom,Sara Lind
F057,An Island of Windows,Thriller,English,2018,102,5.7,United Kingdom,Adrian Cole
F058,The First Radio,Animation,Serbian,2019,115,6.4,Serbia,Minseo Park
F059,The Marble Staircase,Documentary,Japanese,2020,128,7.1,Japan,Amina Diallo
F060,The Unsent Postcard,Comedy,German,2021,82,7.8,Germany,Hana Mori
F061,A Street Called Home,Drama,English,2022,95,8.5,United Kingdom,Claire Moreau
F062,The Wind Collector,Science Fiction,English,2023,108,9.2,United Kingdom,Nadia Rahman
F063,Lanterns at Dawn,Thriller,Serbian,2024,121,9.6,Serbia,Ines Costa
F064,The Distant Bell,Animation,Japanese,2025,134,6.7,Japan,Anja Fischer
F065,A Train for Tomorrow,Documentary,Italian,2018,88,7.4,Italy,Lucia Alvarez
F066,The Glass Violin,Comedy,English,2019,101,8.1,United Kingdom,Tomas Varga
F067,A Door in the Mountain,Drama,English,2020,114,8.8,United Kingdom,Oliver Reed
F068,The Midnight Gardener,Science Fiction,French,2021,127,5.6,France,Chloé Martin
F069,The Smallest Cinema,Thriller,Spanish,2022,140,6.3,Spain,Sofia Ricci
F070,The Language of Birds,Animation,Korean,2023,94,7,South Korea,Gabriel Santos
F071,An Ocean of Rooftops,Documentary,English,2024,107,7.7,United Kingdom,Mateo Silva
F072,The Sound of Dust,Comedy,Serbian,2025,120,8.4,Serbia,Adrian Cole
F073,The Unfinished Map,Drama,French,2018,133,9.1,France,Nadia Rahman
F074,A Place beside the River,Science Fiction,Spanish,2019,87,5.9,Spain,Victor Chen
F075,The Fourth Key,Thriller,English,2020,100,6.6,United Kingdom,Louis Bernard
F076,The Last Apple Tree,Animation,English,2021,113,7.3,United Kingdom,Ren Sato
F077,The Clock without Hands,Documentary,Serbian,2022,126,8,Serbia,Nadia Rahman
F078,A Journey through Smoke,Comedy,Japanese,2023,139,8.7,Japan,Pavel Novak
F079,The Silent Carnival,Drama,German,2024,93,5.5,Germany,Diego Torres
F080,The Borrowed Voice,Science Fiction,English,2025,106,6.2,United Kingdom,Jonas Weber
F081,The Night of Paper Boats,Thriller,English,2018,119,6.9,United Kingdom,Elena Kovac
F082,A Window into Spring,Animation,Serbian,2019,132,7.6,Serbia,Oliver Reed
F083,The Village Photographer,Documentary,Japanese,2020,86,8.3,Japan,Milica Petrovic
F084,The Broken Compass,Comedy,Italian,2021,99,9,Italy,Minseo Park
F085,Echoes of Tomorrow,Drama,English,2022,112,9.5,United Kingdom,Amina Diallo
F086,The Astronaut's Kitchen,Science Fiction,English,2023,125,6.5,United Kingdom,Hana Mori
F087,The Moon above the Factory,Thriller,French,2024,138,7.2,France,Claire Moreau
F088,A Letter to the Lighthouse,Animation,Spanish,2025,92,7.9,Spain,Nadia Rahman
F089,The Seventh Passenger,Documentary,Korean,2018,105,8.6,South Korea,Ines Costa
F090,The Secret of the Attic,Comedy,English,2019,118,9.3,United Kingdom,Anja Fischer
F091,A Basket of Clouds,Drama,Serbian,2020,131,6.1,Serbia,Lucia Alvarez
F092,The Road to the Observatory,Science Fiction,French,2021,85,6.8,France,Tomas Varga
F093,The Girl with the Green Coat,Thriller,Spanish,2022,98,7.5,Spain,Leila Haddad
F094,The Last Ferry Home,Animation,English,2023,111,8.2,United Kingdom,Chloé Martin
F095,An Afternoon in Orbit,Documentary,English,2024,124,8.9,United Kingdom,Sofia Ricci
F096,The Memory Workshop,Comedy,Serbian,2025,137,5.7,Serbia,Gabriel Santos
F097,A Light in the Tunnel,Drama,Japanese,2018,91,6.4,Japan,Sara Lind
F098,The River Postman,Science Fiction,German,2019,104,7.1,Germany,Adrian Cole
F099,The Sleepwalking City,Thriller,English,2020,117,7.8,United Kingdom,Nadia Rahman
F100,The House on the Border,Animation,English,2021,130,8.5,United Kingdom,Victor Chen
F101,A Map of Silence,Documentary,French,2022,84,9.5,France,Hana Mori
F102,The Unopened Letter,Comedy,Japanese,2023,97,6,Japan,Ren Sato
F103,The Brass Bird,Drama,Italian,2024,110,6.7,Italy,Nadia Rahman
F104,The Day the Trams Stopped,Science Fiction,English,2025,123,7.4,United Kingdom,Pavel Novak
F105,A Cup of Yesterday,Thriller,English,2018,136,8.1,United Kingdom,Diego Torres
F106,The Snow Collector,Animation,French,2019,90,8.8,France,Jonas Weber
F107,The Island Radio,Documentary,Spanish,2020,103,5.6,Spain,Elena Kovac
F108,The Quiet Revolution,Comedy,Korean,2021,116,6.3,South Korea,Oliver Reed
F109,A Garden for Tomorrow,Drama,English,2022,129,7,United Kingdom,Milica Petrovic
F110,The Lost Constellation,Science Fiction,Serbian,2023,83,7.7,Serbia,Sofia Ricci
F111,The Raincoat Detective,Thriller,Japanese,2024,96,8.4,Japan,Amina Diallo
F112,The Summer of Blue Windows,Animation,German,2025,109,9.1,Germany,Mateo Silva
F113,The Night Train Orchestra,Documentary,English,2018,122,5.9,United Kingdom,Claire Moreau
F114,A Story in the Sand,Comedy,English,2019,135,6.6,United Kingdom,Nadia Rahman
F115,The Floating Bookshop,Drama,Serbian,2020,89,7.3,Serbia,Victor Chen
F116,The Color of Thursday,Science Fiction,Japanese,2021,102,8,Japan,Louis Bernard
F117,The Last Observatory,Thriller,Italian,2022,115,8.7,Italy,Ren Sato
F118,A Bench for Two,Animation,English,2023,128,5.5,United Kingdom,Tomas Varga
F119,The Hidden Stairway,Documentary,English,2024,82,6.2,United Kingdom,Leila Haddad
F120,The Moonlit Classroom,Comedy,French,2025,95,6.9,France,Diego Torres
F121,A Clock for the Ocean,Drama,Spanish,2018,108,7.6,Spain,Jonas Weber
F122,The Last Elevator,Science Fiction,Korean,2019,121,8.3,South Korea,Elena Kovac
F123,The Return of the Fireflies,Thriller,English,2020,134,9,United Kingdom,Sara Lind
F124,A Family of Strangers,Animation,Serbian,2021,88,5.8,Serbia,Milica Petrovic
F125,The Window Cleaner,Documentary,French,2022,101,6.5,France,Minseo Park
F126,Midnight Orchard,Comedy,Spanish,2023,114,9.5,Spain,Amina Diallo
F127,The Small Hours,Drama,English,2024,127,7.9,United Kingdom,Hana Mori
F128,The Portrait Collector,Science Fiction,English,2025,140,8.6,United Kingdom,Claire Moreau
F129,A Bridge of Lanterns,Thriller,Serbian,2018,94,9.3,Serbia,Nadia Rahman
F130,The Silence after Music,Animation,Japanese,2019,107,6.1,Japan,Ines Costa
F131,The Village under Glass,Documentary,German,2020,120,6.8,Germany,Anja Fischer
F132,A Ticket to the Moon,Comedy,English,2021,133,7.5,United Kingdom,Lucia Alvarez
F133,The Road beyond the Mill,Drama,English,2022,87,8.2,United Kingdom,Tomas Varga
F134,The Winter Projectionist,Science Fiction,Serbian,2023,100,8.9,Serbia,Leila Haddad
F135,An Echo in the Hallway,Thriller,Japanese,2024,113,5.7,Japan,Chloé Martin
F136,The Last Red Tram,Animation,Italian,2025,126,6.4,Italy,Sofia Ricci
F137,The Sound of an Empty Room,Documentary,English,2018,139,7.1,United Kingdom,Gabriel Santos
F138,A City Made of Paper,Comedy,English,2019,93,7.8,United Kingdom,Mateo Silva
F139,The Underwater Library,Drama,French,2020,106,8.5,France,Adrian Cole
F140,The Bicycle on the Roof,Science Fiction,Spanish,2021,119,9.2,Spain,Nadia Rahman
F141,An Ordinary Eclipse,Thriller,Korean,2022,132,6,South Korea,Victor Chen
F142,The Night of Falling Leaves,Animation,English,2023,86,6.7,United Kingdom,Louis Bernard
F143,The Museum of Lost Voices,Documentary,Serbian,2024,99,7.4,Serbia,Ren Sato
F144,A Room for the Rain,Comedy,French,2025,112,8.1,France,Nadia Rahman
F145,The Train beneath the Sea,Drama,Spanish,2018,125,8.8,Spain,Pavel Novak
F146,The Unlikely Magician,Science Fiction,English,2019,138,5.6,United Kingdom,Diego Torres
F147,The Last Summer Cinema,Thriller,English,2020,92,6.3,United Kingdom,Jonas Weber
F148,A Tale of Two Balconies,Animation,Serbian,2021,105,7,Serbia,Elena Kovac
F149,The Clock Tower Choir,Documentary,Japanese,2022,118,7.7,Japan,Oliver Reed
F150,The Post Office at Midnight,Comedy,German,2023,131,8.4,Germany,Milica Petrovic
F151,A Sky Full of Windows,Drama,English,2024,85,9.1,United Kingdom,Minseo Park
F152,The Last Warm Morning,Science Fiction,English,2025,98,5.9,United Kingdom,Amina Diallo
F153,The Secret Life of Streetlights,Thriller,Serbian,2018,111,6.6,Serbia,Mateo Silva
F154,A Song beneath the Bridge,Animation,Japanese,2019,124,7.3,Japan,Claire Moreau
F155,The Day before the Snow,Documentary,Italian,2020,137,8,Italy,Nadia Rahman
F156,The Quiet Side of Mars,Comedy,English,2021,91,8.7,United Kingdom,Ines Costa
F157,The Last Visitor,Drama,English,2022,104,5.5,United Kingdom,Anja Fischer
F158,A Place for the Wind,Science Fiction,French,2023,117,6.2,France,Lucia Alvarez
F159,The Paper Mountain,Thriller,Spanish,2024,130,6.9,Spain,Tomas Varga
F160,The River beneath the Road,Animation,Korean,2025,84,7.6,South Korea,Leila Haddad
F161,The Orchestra of Small Things,Documentary,English,2018,97,8.3,United Kingdom,Chloé Martin
F162,A House beyond the Fog,Comedy,Serbian,2019,110,9,Serbia,Sofia Ricci
F163,The Summer Ticket,Drama,French,2020,123,5.8,France,Gabriel Santos
F164,The Man Who Counted Clouds,Science Fiction,German,2021,136,6.5,Germany,Sara Lind
F165,The Silent Satellite,Thriller,English,2022,90,7.2,United Kingdom,Adrian Cole
F166,A Light above the Orchard,Animation,English,2023,103,7.9,United Kingdom,Minseo Park
F167,The Forgotten Umbrella,Documentary,Serbian,2024,116,8.6,Serbia,Victor Chen
F168,The Last Page of Winter,Comedy,Japanese,2025,129,9.3,Japan,Hana Mori
F169,A Map for the Stars,Drama,German,2018,83,6.1,Germany,Ren Sato
F170,The Train to the Old Cinema,Science Fiction,English,2019,96,6.8,United Kingdom,Nadia Rahman
F171,The Library after Dark,Thriller,English,2020,109,7.5,United Kingdom,Pavel Novak
F172,A Boat Made of Letters,Animation,French,2021,122,8.2,France,Anja Fischer
F173,The Morning without Shadows,Documentary,Spanish,2022,135,8.9,Spain,Lucia Alvarez
F174,The End of the Platform,Comedy,Italian,2023,89,5.7,Italy,Elena Kovac
F175,After the Final Applause,Drama,English,2024,102,6.4,United Kingdom,Oliver Reed
